Constituency,Const. No.,Leading Candidate,Leading Party,WON,Trailing Candidate,Trailing Party,WON,Margin
ARITHANG,26,ARUN KUMAR UPRETI,Sikkim Krantikari Morcha,31,ASHIS RAI,Sikkim Democratic Front,1,2729
BARFUNG,9,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morcha,31,BHAICHUNG BHUTIA,Sikkim Democratic Front,1,4346
CHUJACHEN,20,PURAN KR. GURUNG,Sikkim Krantikari Morcha,31,MANI KUMAR GURUNG,Sikkim Democratic Front,1,3334
DARAMDIN,6,MINGMA NORBU SHERPA,Sikkim Krantikari Morcha,31,PEM NORBU SHERPA,Sikkim Democratic Front,1,5975
DJONGU,30,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morcha,31,SONAM GYATSO LEPCHA,Sikkim Democratic Front,1,5007
GANGTOK,27,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morcha,31,PINTSO CHOPEL LEPCHA,Sikkim Democratic Front,1,2692
GNATHANG-MACHONG,21,PAMIN LEPCHA,Sikkim Krantikari Morcha,31,TSHERING WANGDI LEPCHA,Sikkim Democratic Front,1,3807
GYALSHING-BARNYAK,4,LOK NATH SHARMA,Sikkim Krantikari Morcha,31,KHUSANDRA PRASAD SHARMA,Independent,0,963
KABI LUNGCHUK,29,THENLAY TSHERING BHUTIA,Sikkim Krantikari Morcha,31,GNAWO CHOPEL LEPCHA,Sikkim Democratic Front,1,1693
KHAMDONG-SINGTAM,17,NAR BAHADUR DAHAL,Sikkim Krantikari Morcha,31,MANI KUMAR SHARMA,Sikkim Democratic Front,1,1739
LACHEN MANGAN,31,SAMDUP LEPCHA,Sikkim Krantikari Morcha,31,HISHEY LACHUNGPA,Sikkim Democratic Front,1,851
MANEYBONG-DENTAM,3,SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,31,TIKA RAM CHETTRI,Sikkim Democratic Front,1,6039
MARTAM-RUMTEK,24,SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morcha,31,MECHUNG BHUTIA,Sikkim Democratic Front,1,2762
MELLI,12,NAR BAHADUR PRADHAN,Sikkim Krantikari Morcha,31,GANESH KUMAR RAI,Citizen Action Party-Sikkim,0,4283
NAMCHEYBUNG,22,RAJU BASNET,Sikkim Krantikari Morcha,31,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,1,2256
NAMCHI-SINGHITHANG,11,KRISHNA KUMARI RAI,Sikkim Krantikari Morcha,31,BIMAL RAI,Sikkim Democratic Front,1,5302
NAMTHANG-RATEYPANI,13,SANJEET KHAREL,Sikkim Krantikari Morcha,31,SUMAN PRADHAN,Sikkim Democratic Front,1,5605
POKLOK-KAMRANG,10,BHOJ RAJ RAI,Sikkim Krantikari Morcha,31,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,1,3063
RANGANG-YANGANG,15,RAJ KUMARI THAPA,Sikkim Krantikari Morcha,31,MANI KUMAR SUBBA,Sikkim Democratic Front,1,1201
RHENOCK,19,P S TAMANG,Sikkim Krantikari Morcha,31,SOM NATH POUDYAL,Sikkim Democratic Front,1,7044
RINCHENPONG,5,ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,31,NORDEN BHUTIA,Sikkim Democratic Front,1,6400
SALGHARI-ZOOM,8,MADAN CINTURY,Sikkim Krantikari Morcha,31,JANGA BIR DARNAL,Sikkim Democratic Front,1,2712
SANGHA,32,SONAM LAMA,Sikkim Krantikari Morcha,31,TSETEN TASHI BHUTIA,Bharatiya Janata Party,0,865
SHYARI,23,TENZING NORBU LAMTHA,Sikkim Democratic Front,1,KUNGA NIMA LEPCHA,Sikkim Krantikari Morcha,31,1314
SORENG-CHAKUNG,7,P S TAMANG,Sikkim Krantikari Morcha,31,DR. A D SUBBA,Sikkim Democratic Front,1,7396
TEMI-NAMPHING,14,BEDU SINGH PANTH,Sikkim Krantikari Morcha,31,SUMAN KUMAR TEWARI,Sikkim Democratic Front,1,3558
TUMEN-LINGI,16,SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morcha,31,NORZONG LEPCHA,Sikkim Democratic Front,1,4088
UPPER BURTUK,28,KALA RAI,Sikkim Krantikari Morcha,31,DILLI RAM THAPA,Bharatiya Janata Party,0,2568
UPPER TADONG,25,G.T. DHUNGEL,Sikkim Krantikari Morcha,31,DR. CHANDRA BAHADUR CHETTRI,Sikkim Democratic Front,1,4089
WEST PENDAM,18,LALL BAHADUR DAS,Sikkim Krantikari Morcha,31,ANUP THATAL,Sikkim Democratic Front,1,1952
YANGTHANG,2,BHIM HANG LIMBOO,Sikkim Krantikari Morcha,31,KESHAM LIMBOO,Sikkim Democratic Front,1,2556
YUKSOM TASHIDING,1,TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,31,MEEWANG GYATSO BHUTIA,Sikkim Democratic Front,1,4812
